user id,Age,Urbain,"Casual, Urbancool, Streetwear, Kawaii","Chic, Smart, Working Girl","Rock, Gothique","Engagée, Made in France",Fatale,"Bohême, Romantique",Vintage,Inconnu,access_brand,mass_brand,premium_brand,hdg_brand,prestige_brand,luxe_brand,bio_brand,access_mode,mass_market,premium_mode,hdg_mode,prestige_mode,luxe_mode,vintage_mode,eco_responsable_mode,like_price,dislike_price,like_Naturel,dislike_Naturel,like_Synthetique,dislike_Synthetique,like_Ecolabel,dislike_Ecolabel,like_vif,dislike_vif,like_neutre,dislike_neutre,cluster
4033,24.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1461.0416666666667,388.5833333333333,0.3333333333333333,0.08333333333333333,0,0,0.25,0.0,0.20833333333333334,0.08333333333333333,0.125,0.0,1
4034,16.0,0,3,0,0,0,0,1,1,0,0,6,0,0,5,3,1,6,8,7,3,2,7,0,0,1647.7916666666667,201.83333333333334,0.3333333333333333,0.08333333333333333,0,0,0.20833333333333334,0.041666666666666664,0.2916666666666667,0.0,0.08333333333333333,0.041666666666666664,1
4035,24.0,0,3,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1770.875,78.75,0.375,0.041666666666666664,0,0,0.25,0.0,0.2916666666666667,0.0,0.08333333333333333,0.041666666666666664,1
4036,20.0,1,2,1,0,0,1,1,0,0,0,2,0,1,3,4,1,0,1,2,0,1,2,0,0,1596.2916666666667,253.33333333333334,0.375,0.041666666666666664,0,0,0.20833333333333334,0.041666666666666664,0.25,0.041666666666666664,0.08333333333333333,0.041666666666666664,1
4037,24.0,1,3,3,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,678.625,1171.0,0.20833333333333334,0.20833333333333334,0,0,0.125,0.125,0.041666666666666664,0.25,0.08333333333333333,0.041666666666666664,1
4038,17.0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699.4583333333334,1150.1666666666667,0.125,0.2916666666666667,0,0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.20833333333333334,0.08333333333333333,0.041666666666666664,1
4039,19.0,0,0,1,0,0,1,0,0,0,0,6,2,3,10,9,2,9,24,10,6,6,11,1,0,1075.7916666666667,773.8333333333334,0.20833333333333334,0.20833333333333334,0,0,0.08333333333333333,0.16666666666666666,0.20833333333333334,0.08333333333333333,0.0,0.125,1
4040,20.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229.0833333333333,620.5416666666666,0.2916666666666667,0.125,0,0,0.125,0.125,0.16666666666666666,0.125,0.125,0.0,1
4041,21.0,0,2,1,0,0,1,2,0,0,0,3,0,0,2,3,0,1,2,3,1,0,4,1,0,1766.2916666666667,83.33333333333333,0.375,0.041666666666666664,0,0,0.25,0.0,0.2916666666666667,0.0,0.08333333333333333,0.041666666666666664,1
4042,25.0,1,4,3,2,2,1,2,1,0,0,4,1,0,1,1,0,1,1,2,0,0,1,0,0,1762.5416666666667,87.08333333333333,0.4166666666666667,0.0,0,0,0.20833333333333334,0.041666666666666664,0.25,0.041666666666666664,0.125,0.0,1
4043,23.0,1,1,1,1,0,0,0,0,0,0,4,0,0,5,1,0,6,4,2,1,5,11,0,0,1849.625,0.0,0.4166666666666667,0.0,0,0,0.25,0.0,0.2916666666666667,0.0,0.125,0.0,1
4044,24.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715.7916666666666,1133.8333333333333,0.20833333333333334,0.20833333333333334,0,0,0.041666666666666664,0.20833333333333334,0.08333333333333333,0.20833333333333334,0.08333333333333333,0.041666666666666664,1
4045,24.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1820.875,28.75,0.4166666666666667,0.0,0,0,0.25,0.0,0.25,0.041666666666666664,0.125,0.0,1
4046,24.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1849.625,0.0,0.4166666666666667,0.0,0,0,0.25,0.0,0.2916666666666667,0.0,0.125,0.0,1
4047,22.0,1,1,1,1,0,1,0,0,0,0,3,0,1,2,3,0,5,4,0,0,1,1,0,0,736.125,1113.5,0.20833333333333334,0.20833333333333334,0,0,0.125,0.125,0.041666666666666664,0.25,0.041666666666666664,0.08333333333333333,1
4048,24.0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558.4166666666667,291.2083333333333,0.3333333333333333,0.08333333333333333,0,0,0.20833333333333334,0.041666666666666664,0.20833333333333334,0.08333333333333333,0.041666666666666664,0.08333333333333333,1
4049,23.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1599.7083333333333,249.91666666666666,0.375,0.041666666666666664,0,0,0.20833333333333334,0.041666666666666664,0.20833333333333334,0.08333333333333333,0.125,0.0,1
4050,43.0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,305.0833333333333,1544.5416666666667,0.125,0.2916666666666667,0,0,0.08333333333333333,0.16666666666666666,0.125,0.16666666666666666,0.0,0.125,1
4051,26.0,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,1666.7083333333333,182.91666666666666,0.4166666666666667,0.0,0,0,0.25,0.0,0.25,0.041666666666666664,0.125,0.0,1
4052,27.0,0,2,1,0,0,1,1,0,0,0,0,0,0,3,4,0,1,0,0,1,0,1,0,0,1651.375,198.25,0.3333333333333333,0.08333333333333333,0,0,0.20833333333333334,0.041666666666666664,0.16666666666666666,0.125,0.125,0.0,1
4053,27.0,0,2,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,837.25,1012.375,0.16666666666666666,0.25,0,0,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.125,0.041666666666666664,0.08333333333333333,1
4055,20.0,0,1,0,0,1,0,0,0,0,0,2,1,2,1,6,7,0,0,1,0,3,2,0,0,757.25,1092.375,0.125,0.2916666666666667,0,0,0.20833333333333334,0.041666666666666664,0.16666666666666666,0.125,0.08333333333333333,0.041666666666666664,1
4056,20.0,0,3,1,0,2,1,1,0,0,1,6,2,2,5,8,3,5,20,5,5,3,7,2,0,1766.2916666666667,83.33333333333333,0.375,0.041666666666666664,0,0,0.25,0.0,0.2916666666666667,0.0,0.08333333333333333,0.041666666666666664,1
4057,18.0,1,2,1,2,0,0,0,0,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,686.5416666666666,1163.0833333333333,0.20833333333333334,0.20833333333333334,0,0,0.125,0.125,0.08333333333333333,0.20833333333333334,0.0,0.125,1
4058,21.0,0,3,3,0,1,1,1,1,0,0,1,1,1,3,5,2,0,1,4,1,1,3,0,1,1849.625,0.0,0.4166666666666667,0.0,0,0,0.25,0.0,0.2916666666666667,0.0,0.125,0.0,1
4059,23.0,0,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1666.2916666666667,183.33333333333334,0.375,0.041666666666666664,0,0,0.25,0.0,0.25,0.041666666666666664,0.08333333333333333,0.041666666666666664,1
4060,21.0,1,4,3,2,2,1,2,1,0,1,2,0,1,3,2,0,7,6,6,1,0,7,0,0,1274.5,575.125,0.25,0.16666666666666666,0,0,0.16666666666666666,0.08333333333333333,0.125,0.16666666666666666,0.041666666666666664,0.08333333333333333,1
4061,24.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,1849.625,0.0,0.4166666666666667,0.0,0,0,0.25,0.0,0.2916666666666667,0.0,0.125,0.0,1
4063,27.0,1,2,2,2,1,1,2,0,0,0,1,1,2,7,4,2,0,0,0,0,0,0,0,0,1509.5,340.125,0.3333333333333333,0.08333333333333333,0,0,0.16666666666666666,0.08333333333333333,0.25,0.041666666666666664,0.08333333333333333,0.041666666666666664,1
4065,24.0,1,4,3,2,2,1,2,1,0,0,1,0,0,0,0,1,0,3,3,0,1,0,0,0,1520.125,329.5,0.3333333333333333,0.08333333333333333,0,0,0.16666666666666666,0.08333333333333333,0.20833333333333334,0.08333333333333333,0.08333333333333333,0.041666666666666664,1
4066,24.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1705.0416666666667,144.58333333333334,0.375,0.041666666666666664,0,0,0.25,0.0,0.2916666666666667,0.0,0.08333333333333333,0.041666666666666664,1
4067,24.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450.4583333333333,399.1666666666667,0.375,0.041666666666666664,0,0,0.20833333333333334,0.041666666666666664,0.20833333333333334,0.08333333333333333,0.08333333333333333,0.041666666666666664,1
4068,25.0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1433.4583333333333,416.1666666666667,0.3333333333333333,0.08333333333333333,0,0,0.20833333333333334,0.041666666666666664,0.08333333333333333,0.20833333333333334,0.125,0.0,1
4069,22.0,0,1,1,0,0,1,1,0,0,0,4,0,0,4,6,0,4,4,2,2,2,7,0,0,1392.7083333333333,456.9166666666667,0.375,0.041666666666666664,0,0,0.16666666666666666,0.08333333333333333,0.20833333333333334,0.08333333333333333,0.08333333333333333,0.041666666666666664,1
4070,23.0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,2,0,6,3,0,1,0,0,0,1,1345.2916666666667,504.3333333333333,0.2916666666666667,0.125,0,0,0.125,0.125,0.25,0.041666666666666664,0.041666666666666664,0.08333333333333333,1
4071,22.0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,7,5,4,1,0,0,0,0,1346.2083333333333,503.4166666666667,0.2916666666666667,0.125,0,0,0.125,0.125,0.16666666666666666,0.125,0.125,0.0,1
4074,24.0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144.875,704.75,0.25,0.16666666666666666,0,0,0.125,0.125,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.08333333333333333,1
4075,24.0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.41666666666666,1614.2083333333333,0.041666666666666664,0.375,0,0,0.08333333333333333,0.16666666666666666,0.041666666666666664,0.25,0.0,0.125,1
4077,24.0,1,3,3,1,1,1,2,1,0,0,7,3,0,11,9,4,8,17,7,5,3,7,0,0,1582.2916666666667,267.3333333333333,0.375,0.041666666666666664,0,0,0.25,0.0,0.16666666666666666,0.125,0.125,0.0,1
4079,22.0,1,2,1,2,0,1,2,0,0,0,2,1,1,0,1,1,2,2,1,0,0,1,0,0,776.4583333333334,1073.1666666666667,0.20833333333333334,0.20833333333333334,0,0,0.20833333333333334,0.041666666666666664,0.08333333333333333,0.20833333333333334,0.08333333333333333,0.041666666666666664,1
4080,20.0,0,2,1,0,0,1,2,0,0,0,0,1,0,2,0,4,0,6,2,0,0,0,0,0,1849.625,0.0,0.4166666666666667,0.0,0,0,0.25,0.0,0.2916666666666667,0.0,0.125,0.0,1
4081,22.0,0,3,1,0,0,0,1,0,0,0,0,0,0,2,1,0,2,0,0,0,1,2,0,0,1470.7083333333333,378.9166666666667,0.2916666666666667,0.125,0,0,0.16666666666666666,0.08333333333333333,0.25,0.041666666666666664,0.041666666666666664,0.08333333333333333,1
4082,20.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1254.4583333333333,595.1666666666666,0.2916666666666667,0.125,0,0,0.16666666666666666,0.08333333333333333,0.125,0.16666666666666666,0.041666666666666664,0.08333333333333333,1
4083,20.0,0,2,3,1,0,1,1,0,0,0,4,0,0,3,1,0,16,19,11,4,3,8,0,0,1849.625,0.0,0.4166666666666667,0.0,0,0,0.25,0.0,0.2916666666666667,0.0,0.125,0.0,1
4084,24.0,0,0,3,1,0,1,1,1,0,0,6,1,0,3,6,4,9,13,10,1,0,3,0,0,1766.2916666666667,83.33333333333333,0.375,0.041666666666666664,0,0,0.25,0.0,0.2916666666666667,0.0,0.08333333333333333,0.041666666666666664,1
4086,24.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996.125,853.5,0.25,0.16666666666666666,0,0,0.125,0.125,0.125,0.16666666666666666,0.041666666666666664,0.08333333333333333,1
4087,34.0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311.5416666666667,538.0833333333334,0.2916666666666667,0.125,0,0,0.16666666666666666,0.08333333333333333,0.20833333333333334,0.08333333333333333,0.125,0.0,1
4088,49.0,0,1,1,0,1,0,0,0,0,0,1,2,3,1,2,1,1,3,7,0,1,0,0,0,1070.2083333333333,779.4166666666666,0.20833333333333334,0.20833333333333334,0,0,0.08333333333333333,0.16666666666666666,0.20833333333333334,0.08333333333333333,0.08333333333333333,0.041666666666666664,1
4091,23.0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,1754.375,95.25,0.3333333333333333,0.08333333333333333,0,0,0.16666666666666666,0.08333333333333333,0.20833333333333334,0.08333333333333333,0.125,0.0,1
4093,23.0,1,2,2,1,0,1,1,0,0,0,4,0,0,3,7,0,7,7,4,3,1,5,0,0,1520.4583333333333,329.1666666666667,0.375,0.041666666666666664,0,0,0.20833333333333334,0.041666666666666664,0.20833333333333334,0.08333333333333333,0.125,0.0,1
4094,22.0,0,2,2,0,0,1,1,1,0,0,4,0,0,2,3,0,1,1,1,0,0,2,0,0,1542.9583333333333,306.6666666666667,0.4166666666666667,0.0,0,0,0.20833333333333334,0.041666666666666664,0.20833333333333334,0.08333333333333333,0.125,0.0,1
4095,24.0,0,1,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1791.2916666666667,58.333333333333336,0.4166666666666667,0.0,0,0,0.20833333333333334,0.041666666666666664,0.2916666666666667,0.0,0.125,0.0,1
4096,20.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1749.625,100.0,0.4166666666666667,0.0,0,0,0.25,0.0,0.25,0.041666666666666664,0.125,0.0,1
4098,24.0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1745.4583333333333,104.16666666666667,0.4166666666666667,0.0,0,0,0.20833333333333334,0.041666666666666664,0.2916666666666667,0.0,0.125,0.0,1
4099,24.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1712.5416666666667,137.08333333333334,0.375,0.041666666666666664,0,0,0.20833333333333334,0.041666666666666664,0.2916666666666667,0.0,0.08333333333333333,0.041666666666666664,1
4101,24.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1451.125,398.5,0.3333333333333333,0.08333333333333333,0,0,0.16666666666666666,0.08333333333333333,0.125,0.16666666666666666,0.125,0.0,1
4102,24.0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476.0416666666667,373.5833333333333,0.3333333333333333,0.08333333333333333,0,0,0.16666666666666666,0.08333333333333333,0.25,0.041666666666666664,0.041666666666666664,0.08333333333333333,1
4103,20.0,0,1,2,1,1,1,2,0,0,0,4,4,5,6,4,13,1,6,8,1,1,1,0,0,1319.7916666666667,529.8333333333334,0.375,0.041666666666666664,0,0,0.125,0.125,0.20833333333333334,0.08333333333333333,0.08333333333333333,0.041666666666666664,1
4104,21.0,1,3,3,0,0,1,2,1,0,0,6,1,1,11,8,4,20,30,15,5,7,11,1,0,1638.7916666666667,210.83333333333334,0.3333333333333333,0.08333333333333333,0,0,0.25,0.0,0.20833333333333334,0.08333333333333333,0.08333333333333333,0.041666666666666664,1
4137,21.0,0,3,3,1,1,1,1,0,0,0,4,2,2,4,5,0,0,0,2,0,0,0,0,0,1849.625,0.0,0.4166666666666667,0.0,0,0,0.25,0.0,0.2916666666666667,0.0,0.125,0.0,1
4138,22.0,0,2,1,0,0,0,0,0,0,0,4,1,0,2,0,0,0,3,0,0,0,0,0,0,1141.9583333333333,707.6666666666666,0.3333333333333333,0.08333333333333333,0,0,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.08333333333333333,1
4140,22.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1486.2916666666667,363.3333333333333,0.4166666666666667,0.0,0,0,0.25,0.0,0.20833333333333334,0.08333333333333333,0.125,0.0,1
